location_id,year_id,mean_value
6,1981,0.404975079
6,1982,0.411808487
6,1983,0.416166912
6,1984,0.420309225
6,1985,0.426878009
6,1986,0.435601914
6,1987,0.443875233
6,1988,0.451903824
6,1989,0.458344502
6,1990,0.465309258
6,1991,0.473416303
6,1992,0.481462631
6,1993,0.489572958
6,1994,0.497647989
6,1995,0.506687014
6,1996,0.51698833
6,1997,0.527052007
6,1998,0.535850399
6,1999,0.544485732
6,2000,0.552336011
6,2001,0.558919487
6,2002,0.565621028
6,2003,0.572507897
6,2004,0.580647616
6,2005,0.589981971
6,2006,0.600578258
6,2007,0.611022841
6,2008,0.62081969
6,2009,0.630191044
6,2010,0.642159877
6,2011,0.65208923
6,2012,0.65712802
6,2013,0.661302502
6,2014,0.665077743
6,2015,0.667082534
6,2016,0.670196577
6,2017,0.67807348
6,2018,0.687058094
6,2019,0.696344483
6,2020,0.70567262
6,2021,0.713940185
6,2022,0.720965357
6,2023,0.727553274
7,1950,0.286289399
7,1951,0.29002004
7,1952,0.294634975
7,1953,0.299936214
7,1954,0.305343045
7,1955,0.310809633
7,1956,0.316278031
7,1957,0.321691017
7,1958,0.327045609
7,1959,0.332385208
7,1960,0.337966066
7,1961,0.343528862
7,1962,0.349086027
7,1963,0.354516033
7,1964,0.360044179
7,1965,0.365451574
7,1966,0.370955637
7,1967,0.376276367
7,1968,0.381541727
7,1969,0.386714053
7,1970,0.391963512
7,1971,0.397935481
7,1972,0.404535271
7,1973,0.411617762
7,1974,0.41915864
7,1975,0.427081451
7,1976,0.434454584
7,1977,0.441391594
7,1978,0.44801987
7,1979,0.45425403
7,1980,0.460152958
7,1981,0.465626362
7,1982,0.47080848
7,1983,0.475809391
7,1984,0.480618529
7,1985,0.485367075
7,1986,0.489762137
7,1987,0.493882383
7,1988,0.497087661
7,1989,0.499866145
7,1990,0.501894333
7,1991,0.503165987
7,1992,0.503516524
7,1993,0.503384287
7,1994,0.502981746
7,1995,0.502188263
7,1996,0.501205272
7,1997,0.499731941
7,1998,0.498663136
7,1999,0.498986887
7,2000,0.500007941
7,2001,0.502171474
7,2002,0.505034518
7,2003,0.508486373
7,2004,0.512497927
7,2005,0.517295137
7,2006,0.521864977
7,2007,0.526160765
7,2008,0.530845475
7,2009,0.535085519
7,2010,0.539063576
7,2011,0.542982816
7,2012,0.546988306
7,2013,0.551054488
7,2014,0.555099443
7,2015,0.558731057
7,2016,0.562861451
7,2017,0.56618649
7,2018,0.568580641
7,2019,0.570964353
7,2020,0.57245301
7,2021,0.573858026
7,2022,0.575232114
7,2023,0.57705994
8,1950,0.288934449
8,1951,0.296433915
8,1952,0.306631075
8,1953,0.315513354
8,1954,0.321973309
8,1955,0.328436391
8,1956,0.336132372
8,1957,0.343527563
8,1958,0.34909988
8,1959,0.353838951
8,1960,0.359555662
8,1961,0.365381036
8,1962,0.371479293
8,1963,0.37814947
8,1964,0.384207802
8,1965,0.389619661
8,1966,0.39731274
8,1967,0.408193894
8,1968,0.42173549
8,1969,0.436966567
8,1970,0.45240153
8,1971,0.467730068
8,1972,0.481791207
8,1973,0.494037976
8,1974,0.502883691
8,1975,0.508237691
8,1976,0.515664958
8,1977,0.525927249
8,1978,0.536391088
8,1979,0.547601884
8,1980,0.55971092
8,1981,0.572122532
8,1982,0.58524418
8,1983,0.599106369
8,1984,0.613564214
8,1985,0.627500503
8,1986,0.639607009
8,1987,0.6497929
8,1988,0.659519629
8,1989,0.66899016
8,1990,0.677907976
8,1991,0.686733208
8,1992,0.694695027
8,1993,0.702460679
8,1994,0.710310164
8,1995,0.718497226
8,1996,0.727753941
8,1997,0.737736402
8,1998,0.746498751
8,1999,0.752981142
8,2000,0.759837996
8,2001,0.767277802
8,2002,0.774933113
8,2003,0.782235619
8,2004,0.789316575
8,2005,0.796286354
8,2006,0.803257147
8,2007,0.81065491
8,2008,0.817530453
8,2009,0.823190427
8,2010,0.828470702
8,2011,0.832663652
8,2012,0.836848176
8,2013,0.841107926
8,2014,0.845017258
8,2015,0.848844987
8,2016,0.85272153
8,2017,0.856647578
8,2018,0.860381642
8,2019,0.864180348
8,2020,0.868362752
8,2021,0.87301271
8,2022,0.877455358
8,2023,0.881537661
9,1950,0.2311154
9,1951,0.234958562
9,1952,0.238622843
9,1953,0.242438029
9,1954,0.246385941
9,1955,0.250385669
9,1956,0.254324876
9,1957,0.258499057
9,1958,0.262506881
9,1959,0.267007311
9,1960,0.27173324
9,1961,0.27665428
9,1962,0.281894199
9,1963,0.287245191
9,1964,0.292713016
9,1965,0.297966228
9,1966,0.303640838
9,1967,0.308933081
9,1968,0.31454186
9,1969,0.320412966
9,1970,0.326811949
9,1971,0.332876701
9,1972,0.338820185
9,1973,0.345129146
9,1974,0.351573996
9,1975,0.358093436
9,1976,0.365239585
9,1977,0.372655977
9,1978,0.379940363
9,1979,0.387328909
9,1980,0.394921276
9,1981,0.402769261
9,1982,0.410474103
9,1983,0.418200788
9,1984,0.425938445
9,1985,0.433202749
9,1986,0.440170161
9,1987,0.447098407
9,1988,0.45412553
9,1989,0.461383969
9,1990,0.468679762
9,1991,0.475992417
9,1992,0.483546681
9,1993,0.491277154
9,1994,0.499113158
9,1995,0.506979722
9,1996,0.514721941
9,1997,0.522103209
9,1998,0.527920306
9,1999,0.53308426
9,2000,0.537763584
9,2001,0.542024332
9,2002,0.546455617
9,2003,0.551113316
9,2004,0.555856674
9,2005,0.560566999
9,2006,0.565371621
9,2007,0.57051047
9,2008,0.576021778
9,2009,0.581698466
9,2010,0.587663395
9,2011,0.593375036
9,2012,0.599405996
9,2013,0.605674142
9,2014,0.611934073
9,2015,0.618139323
9,2016,0.624240807
9,2017,0.630338416
9,2018,0.636368667
9,2019,0.642324632
9,2020,0.647279728
9,2021,0.651979718
9,2022,0.656701231
9,2023,0.661279472
10,1950,0.19580503
10,1951,0.197679044
10,1952,0.200033697
10,1953,0.202009476
10,1954,0.204951952
